song_name,file_size_kb,date_process,wiener_improvement_%,wiener_performance,wiener_time_s,mmse_improvement_%,mmse_performance,mmse_time_s,best_improvement_%,best_performance,best_time_s
SZA_Nobody_Gets_Me_1.wav,516.84,2025-11-22T20:57:57.281596,-28.87,0.6,0.02,-24.59,0.62,0.04,-24.59,0.62,0.04
15_SZA__20_Something_Filtered_Acapella_Vocals_3.wav,1287.04,2025-11-22T20:57:57.449964,10.48,0.8,0.051,12.1,0.81,0.095,12.1,0.81,0.095
2_SZA__Doves_In_The_Wind_8.wav,1863.95,2025-11-22T20:57:57.691699,9.33,0.8,0.072,10.84,0.8,0.136,10.84,0.8,0.136
6_SZA__The_Weekend_Filtered_Acapella_Vocals_8.wav,1348.04,2025-11-22T20:57:57.865117,8.3,0.79,0.054,9.87,0.8,0.095,9.87,0.8,0.095
15_SZA__20_Something_Filtered_Acapella_Vocals_7.wav,434.04,2025-11-22T20:57:57.927627,-21.1,0.65,0.017,-8.58,0.71,0.032,-8.58,0.71,0.032
SZA_Nobody_Gets_Me_5.wav,2859.04,2025-11-22T20:57:58.315511,23.93,0.84,0.121,21.99,0.83,0.217,23.93,0.84,0.121
SZA_Nobody_Gets_Me_4.wav,4755.04,2025-11-22T20:57:58.944309,14.65,0.81,0.186,15.63,0.82,0.345,15.63,0.82,0.345
9_SZA__Pretty_Little_Birds_8.wav,736.04,2025-11-22T20:57:59.045563,-7.34,0.71,0.028,-4.37,0.73,0.056,-4.37,0.73,0.056
15_SZA__20_Something_Filtered_Acapella_Vocals_6.wav,332.04,2025-11-22T20:57:59.097816,8.19,0.79,0.015,10.2,0.8,0.026,10.2,0.8,0.026
6_SZA__The_Weekend_Filtered_Acapella_Vocals_9.wav,3451.04,2025-11-22T20:57:59.533479,4.19,0.77,0.133,7.39,0.79,0.248,7.39,0.79,0.248
SZA_Good_days_8.wav,692.04,2025-11-22T20:57:59.630823,23.18,0.86,0.028,21.26,0.85,0.053,23.18,0.86,0.028
15_SZA__20_Something_Filtered_Acapella_Vocals_4.wav,2367.04,2025-11-22T20:57:59.935318,9.04,0.8,0.093,11.29,0.81,0.172,11.29,0.81,0.172
15_SZA__20_Something_Filtered_Acapella_Vocals_5.wav,813.04,2025-11-22T20:58:00.046445,7.85,0.79,0.033,10.82,0.8,0.06,10.82,0.8,0.06
SZA_Good_days_9.wav,143.04,2025-11-22T20:58:00.072055,3.99,0.77,0.007,6.89,0.78,0.011,6.89,0.78,0.011
2_SZA__Doves_In_The_Wind_7.wav,868.04,2025-11-22T20:58:00.183996,12.3,0.81,0.034,13.03,0.82,0.063,13.03,0.82,0.063
6_SZA__The_Weekend_Filtered_Acapella_Vocals_7.wav,1114.04,2025-11-22T20:58:00.327201,6.74,0.78,0.044,9.3,0.79,0.079,9.3,0.79,0.079
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_0.wav,300.04,2025-11-22T20:58:00.371842,-14.69,0.67,0.012,-11.08,0.69,0.023,-11.08,0.69,0.023
SZA_Good_days_4.wav,1920.04,2025-11-22T20:58:00.630376,10.25,0.79,0.079,14.61,0.81,0.144,14.61,0.81,0.144
15_SZA__20_Something_Filtered_Acapella_Vocals_8.wav,4235.04,2025-11-22T20:58:01.188187,9.75,0.8,0.167,11.72,0.81,0.32,11.72,0.81,0.32
1_SZA__Supermodel_Filtered_Acapella_Vocals_1.wav,2621.04,2025-11-22T20:58:01.531093,-6.74,0.72,0.104,6.75,0.78,0.195,6.75,0.78,0.195
9_SZA__Pretty_Little_Birds_6.wav,534.04,2025-11-22T20:58:01.606187,5.61,0.78,0.022,7.94,0.79,0.04,7.94,0.79,0.04
9_SZA__Pretty_Little_Birds_7.wav,539.04,2025-11-22T20:58:01.679064,8.33,0.79,0.02,10.22,0.8,0.039,10.22,0.8,0.039
1_SZA__Supermodel_Filtered_Acapella_Vocals_0.wav,1036.04,2025-11-22T20:58:01.816971,2.11,0.76,0.041,11.7,0.81,0.077,11.7,0.81,0.077
15_SZA__20_Something_Filtered_Acapella_Vocals_9.wav,357.36,2025-11-22T20:58:01.868473,14.11,0.82,0.014,14.09,0.82,0.028,14.11,0.82,0.014
SZA_Good_days_5.wav,11793.04,2025-11-22T20:58:03.465788,7.14,0.78,0.461,7.97,0.78,0.939,7.97,0.78,0.939
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_1.wav,2445.04,2025-11-22T20:58:03.780412,8.92,0.79,0.096,10.84,0.8,0.177,10.84,0.8,0.177
4_SZA__Drew_Barrymore_Filtered_Acapella_Vocals_1.wav,440.04,2025-11-22T20:58:03.842428,8.53,0.79,0.018,10.36,0.8,0.032,10.36,0.8,0.032
6_SZA__The_Weekend_Filtered_Acapella_Vocals_6.wav,383.04,2025-11-22T20:58:03.896558,8.63,0.79,0.015,10.5,0.8,0.028,10.5,0.8,0.028
2_SZA__Doves_In_The_Wind_6.wav,942.04,2025-11-22T20:58:04.025644,13.7,0.82,0.036,14.45,0.82,0.076,14.45,0.82,0.076
8_SZA__Wavy_1.wav,1050.04,2025-11-22T20:58:04.162351,-1.29,0.74,0.042,1.96,0.76,0.076,1.96,0.76,0.076
2_SZA__Doves_In_The_Wind_4.wav,1132.04,2025-11-22T20:58:04.308677,12.87,0.82,0.044,13.55,0.82,0.081,13.55,0.82,0.081
12_SZA__Garden_Say_It_Like_Dat_Filtered_Acapella_Vocals_5.wav,2226.04,2025-11-22T20:58:04.609901,5.65,0.78,0.094,7.59,0.79,0.17,7.59,0.79,0.17
6_SZA__The_Weekend_Filtered_Acapella_Vocals_4.wav,1564.04,2025-11-22T20:58:04.822656,-23.09,0.64,0.071,-6.73,0.72,0.113,-6.73,0.72,0.113
4_SZA__Drew_Barrymore_Filtered_Acapella_Vocals_3.wav,3651.04,2025-11-22T20:58:05.290999,6.7,0.78,0.142,8.93,0.8,0.264,8.93,0.8,0.264
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_3.wav,1020.04,2025-11-22T20:58:05.425823,6.06,0.78,0.04,9.63,0.8,0.075,9.63,0.8,0.075
SZA_Good_days_7.wav,422.04,2025-11-22T20:58:05.486533,19.68,0.84,0.017,18.41,0.84,0.032,19.68,0.84,0.017
1_SZA__Supermodel_Filtered_Acapella_Vocals_2.wav,2541.04,2025-11-22T20:58:05.809416,-22.93,0.63,0.099,-5.04,0.72,0.182,-5.04,0.72,0.182
9_SZA__Pretty_Little_Birds_5.wav,400.04,2025-11-22T20:58:05.865627,8.39,0.79,0.015,10.63,0.8,0.029,10.63,0.8,0.029
9_SZA__Pretty_Little_Birds_4.wav,254.04,2025-11-22T20:58:05.903434,-0.4,0.75,0.011,1.98,0.76,0.019,1.98,0.76,0.019
1_SZA__Supermodel_Filtered_Acapella_Vocals_3.wav,526.04,2025-11-22T20:58:05.973655,4.45,0.77,0.02,9.88,0.8,0.038,9.88,0.8,0.038
SZA_Good_days_6.wav,763.04,2025-11-22T20:58:06.076331,26.69,0.88,0.03,23.56,0.87,0.06,26.69,0.88,0.03
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_2.wav,3699.04,2025-11-22T20:58:06.610701,5.0,0.77,0.16,7.64,0.78,0.273,7.64,0.78,0.273
4_SZA__Drew_Barrymore_Filtered_Acapella_Vocals_2.wav,482.04,2025-11-22T20:58:06.679458,2.19,0.76,0.02,5.43,0.78,0.035,5.43,0.78,0.035
6_SZA__The_Weekend_Filtered_Acapella_Vocals_5.wav,1524.04,2025-11-22T20:58:06.874540,3.0,0.77,0.059,6.08,0.78,0.11,6.08,0.78,0.11
12_SZA__Garden_Say_It_Like_Dat_Filtered_Acapella_Vocals_4.wav,785.04,2025-11-22T20:58:06.977744,3.01,0.77,0.031,8.18,0.79,0.056,8.18,0.79,0.056
2_SZA__Doves_In_The_Wind_5.wav,1423.04,2025-11-22T20:58:07.163238,3.41,0.77,0.055,6.44,0.78,0.104,6.44,0.78,0.104
8_SZA__Wavy_0.wav,2042.23,2025-11-22T20:58:07.426471,6.34,0.78,0.08,9.18,0.8,0.149,9.18,0.8,0.149
2_SZA__Doves_In_The_Wind_1.wav,963.04,2025-11-22T20:58:07.553678,12.66,0.81,0.039,13.79,0.82,0.07,13.79,0.82,0.07
SZA_Snooze_0.wav,4283.04,2025-11-22T20:58:08.101986,9.41,0.8,0.166,12.32,0.81,0.315,12.32,0.81,0.315
12_SZA__Garden_Say_It_Like_Dat_Filtered_Acapella_Vocals_0.wav,1535.04,2025-11-22T20:58:08.301080,6.75,0.78,0.06,9.18,0.8,0.112,9.18,0.8,0.112
4_SZA__Drew_Barrymore_Filtered_Acapella_Vocals_6.wav,3692.04,2025-11-22T20:58:08.765729,6.79,0.78,0.143,11.53,0.81,0.262,11.53,0.81,0.262
6_SZA__The_Weekend_Filtered_Acapella_Vocals_1.wav,585.04,2025-11-22T20:58:08.845360,14.38,0.8,0.024,15.87,0.81,0.042,15.87,0.81,0.042
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_6.wav,678.04,2025-11-22T20:58:08.935652,9.32,0.8,0.026,10.46,0.8,0.051,10.46,0.8,0.051
1_SZA__Supermodel_Filtered_Acapella_Vocals_7.wav,470.94,2025-11-22T20:58:09.001617,15.39,0.83,0.019,15.85,0.83,0.036,15.85,0.83,0.036
SZA_Good_days_2.wav,369.04,2025-11-22T20:58:09.055286,24.22,0.87,0.015,23.51,0.87,0.028,24.22,0.87,0.015
9_SZA__Pretty_Little_Birds_0.wav,1052.04,2025-11-22T20:58:09.193059,9.23,0.78,0.042,11.36,0.79,0.078,11.36,0.79,0.078
9_SZA__Pretty_Little_Birds_1.wav,1037.04,2025-11-22T20:58:09.327833,10.89,0.8,0.04,12.2,0.81,0.075,12.2,0.81,0.075
SZA_Good_days_3.wav,379.04,2025-11-22T20:58:09.384289,32.63,0.91,0.015,27.35,0.89,0.03,32.63,0.91,0.015
1_SZA__Supermodel_Filtered_Acapella_Vocals_6.wav,543.04,2025-11-22T20:58:09.457670,19.04,0.85,0.021,18.27,0.84,0.042,19.04,0.85,0.021
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_7.wav,137.04,2025-11-22T20:58:09.482084,1.07,0.73,0.006,3.98,0.75,0.011,3.98,0.75,0.011
6_SZA__The_Weekend_Filtered_Acapella_Vocals_0.wav,194.04,2025-11-22T20:58:09.511907,21.22,0.86,0.008,20.28,0.85,0.015,21.22,0.86,0.008
4_SZA__Drew_Barrymore_Filtered_Acapella_Vocals_7.wav,387.04,2025-11-22T20:58:09.567341,28.29,0.89,0.015,24.47,0.87,0.031,28.29,0.89,0.015
SZA_Snooze_1.wav,10287.04,2025-11-22T20:58:10.892722,8.82,0.79,0.403,10.44,0.8,0.761,10.44,0.8,0.761
12_SZA__Garden_Say_It_Like_Dat_Filtered_Acapella_Vocals_1.wav,1430.04,2025-11-22T20:58:11.078612,4.38,0.77,0.057,7.22,0.78,0.104,7.22,0.78,0.104
